model,hospitals,states_dc,state_variance,residual_variance,icc
Primary cohort,3598,51,610.4302370088749,1228.479695584025,0.33195222136200875
Broad hospital cohort,3627,51,600.7003136663538,1225.7445239874708,0.32889047688841705
