fitted,residual,standardized_residual
194.94238358833746,22.057616411662536,0.6341260631537986
194.94238358833746,-53.942383588337464,-1.5507691630687106
170.1908563294846,-26.190856329484603,-0.752951012696981
140.3032981210916,-12.303298121091586,-0.3537028596258609
151.16232762950037,12.837672370499632,0.36906538260675253
166.80485798139318,21.195142018606816,0.6093311133626591
140.3032981210916,-14.303298121091586,-0.4112001024211901
169.05744478087823,15.942555219121772,0.4583264841058928
142.55588492057663,2.4441150794233693,0.07026493907066463
124.66076776919877,3.3392322308012297,0.09599832316218276
188.08597348086246,25.914026519137536,0.7449925372877244
185.83338668137742,-44.83338668137742,-1.2888980596780184
188.08597348086246,13.914026519137536,0.40000908051574924
194.94238358833746,20.057616411662536,0.5766288203584694
140.3032981210916,-32.303298121091586,-0.9286752875791529
188.08597348086246,-30.085973480862464,-0.8649302609814928
124.66076776919877,33.33923223080123,0.9584569650921205
194.94238358833746,57.057616411662536,1.6403278120720592
151.16232762950037,50.83767237049963,1.461512995718007
140.3032981210916,-37.303298121091586,-1.072418394567476
140.3032981210916,-24.303298121091586,-0.698686316397836
151.16232762950037,8.837672370499632,0.2540708970160942
151.16232762950037,-13.162327629500368,-0.3783987737325269
140.3032981210916,-2.3032981210915864,-0.06621664564921498
124.66076776919877,-13.66076776919877,-0.3927282405981153
170.1908563294846,53.8091436705154,1.5469386991161864
142.55588492057663,-16.55588492057663,-0.47595886748496263
142.55588492057663,29.44411507942337,0.8464777168076086
142.55588492057663,-30.55588492057663,-0.8784395670522669
166.80485798139318,-15.804857981393184,-0.45436787835093084
142.55588492057663,-52.55588492057663,-1.5109092378008881
169.05744478087823,62.94255521912177,1.8095116897961285
169.05744478087823,13.942555219121772,0.40082924131056363
170.1908563294846,-39.1908563294846,-1.1266830908666208
188.08597348086246,-35.085973480862464,-1.0086733679698159
124.66076776919877,9.33923223080123,0.26849005154817035
169.05744478087823,44.94255521912177,1.2920365046381659
151.16232762950037,5.837672370499632,0.16782503282310038
166.80485798139318,33.195142018606816,0.9543145701346342
142.55588492057663,19.44411507942337,0.5589915028309628
194.94238358833746,33.057616411662536,0.950360898528109
142.55588492057663,-40.55588492057663,-1.165925781028913
124.66076776919877,-17.66076776919877,-0.5077227261887737
142.55588492057663,19.44411507942337,0.5589915028309628
166.80485798139318,22.195142018606816,0.6380797347603238
140.3032981210916,-22.303298121091586,-0.6411890736025068
166.80485798139318,1.1951420186068162,0.034358685409367234
177.0472664369596,-1.0472664369596032,-0.030107466298633548
169.05744478087823,38.94255521912177,1.1195447762521784
142.55588492057663,-22.55588492057663,-0.6484505958709502
166.80485798139318,18.195142018606816,0.5230852491696654
169.05744478087823,-20.057444780878228,-0.5766238862100326
151.16232762950037,18.837672370499632,0.5415571109927401
142.55588492057663,-16.55588492057663,-0.47595886748496263
124.66076776919877,-26.66076776919877,-0.766460318767755
169.05744478087823,-59.05744478087823,-1.6978201207189518
124.66076776919877,-1.6607677691987703,-0.047744783826140204
140.3032981210916,42.696701878908414,1.2274713172456917
170.1908563294846,-4.190856329484603,-0.12048134194835991
142.55588492057663,-2.5558849205766307,-0.07347816791765834
151.16232762950037,3.8376723704996323,0.1103277900277712
170.1908563294846,-24.190856329484603,-0.6954537699016518
124.66076776919877,-0.6607677691987703,-0.018996162428475606
188.08597348086246,49.914026519137536,1.4349594508316745
124.66076776919877,0.33923223080122966,0.009752458969188986
124.66076776919877,-22.66076776919877,-0.6514658331770966
124.66076776919877,-21.66076776919877,-0.6227172117794321
169.05744478087823,-47.05744478087823,-1.3528366639469767
142.55588492057663,-19.55588492057663,-0.5622047316779564
142.55588492057663,-19.55588492057663,-0.5622047316779564
115.50896295809208,15.491037041907916,0.445345958975008
113.25637615860705,7.743623841392946,0.2226185100621342
115.50896295809208,-21.508962958092084,-0.6183530327385819
115.50896295809208,54.491037041907916,1.566542193483927
183.45077410683876,4.5492258931612355,0.13078397285494417
164.42224540685453,-28.42224540685453,-0.817100372473173
140.17327234603798,22.826727653962024,0.656236951071354
164.42224540685453,5.577754593145471,0.1603527550474231
167.80824375494595,-38.80824375494595,-1.1156835068192232
137.92068554655293,14.079314453447068,0.40476088076081607
185.7033609063238,-61.70336090632381,-1.7738865616593624
113.12635038355344,13.873649616446556,0.39884830022707596
113.12635038355344,-3.1263503835534436,-0.08987826353322217
113.12635038355344,12.873649616446556,0.37009967882941136
110.87376358406841,-1.8737635840684135,-0.05386811986711463
113.12635038355344,13.873649616446556,0.39884830022707596
110.87376358406841,-11.873763584068413,-0.3413543338437605
110.87376358406841,9.126236415931587,0.2623667155071959
110.87376358406841,25.126236415931587,0.7223446578698294
210.39353542167217,54.60646457832783,1.5698605760273283
210.39353542167217,-3.393535421672169,-0.097559465037218
184.50859661421293,-22.508596614212934,-0.6470911222547635
203.53712531419717,-17.53712531419717,-0.5041681760612549
184.50859661421293,-14.508596614212934,-0.4171021510734467
210.39353542167217,-19.39353542167217,-0.5575374073998515
210.39353542167217,-30.39353542167217,-0.873772242774162
210.39353542167217,-16.39353542167217,-0.4712915432068577
203.53712531419717,-28.53712531419717,-0.8204030114355654
203.53712531419717,17.46287468580283,0.5020335728570059
210.39353542167217,-33.39353542167217,-0.9600181069671558
183.32051505288362,-17.32051505288362,-0.4979409296679025
210.39353542167217,-73.39353542167217,-2.1099629628737397
168.86606626232012,-5.866066262320118,-0.16864131806905525
187.89459496230435,10.105405037695647,0.2905164634987639
184.50859661421293,18.491403385787066,0.5316023550494848
205.7897121136822,5.210287886317786,0.1497885938165874
203.53712531419717,23.46287468580283,0.6745253012429935
184.50859661421293,-6.508596614212934,-0.18711317989213
210.39353542167217,95.60646457832783,2.748554053331577
210.39353542167217,58.60646457832783,1.6848550616179867
168.86606626232012,57.13393373767988,1.642521829983814
168.86606626232012,-11.866066262320118,-0.3411330464550428
168.86606626232012,71.13393373767988,2.0450025295511183
194.75100506977935,-17.751005069779353,-0.5103169241791121
203.53712531419717,62.46287468580283,1.7957215357519125
203.53712531419717,-6.537125314197169,-0.18793334068694437
203.53712531419717,35.46287468580283,1.0195087580149684
187.89459496230435,-58.89459496230435,-1.693138412940093
168.86606626232012,-40.86606626232012,-1.174843066987316
203.53712531419717,-4.537125314197169,-0.13043609789161517
