effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),154.27159639866088,4.120981882851316,37.435640530387396,57.62549945349213,3.8973159829769805e-42,146.02141334461982,162.52177945270194
fixed,ed_volumeMedium,22.41191475313265,2.2398943730789096,10.005790908044348,2691.1725636165806,3.631523951444162e-23,18.019827110436,26.804002395829297
fixed,ed_volumeHigh,41.071462790344874,2.525165970575552,16.26485675354781,2695.4744926100857,8.149465481016736e-57,36.120005068033905,46.022920512655844
fixed,ed_volumeVery high,47.72380643796849,2.4443451459016536,19.524168474319307,2702.3704003281478,1.6035776696312876e-79,42.93083127696954,52.51678159896744
fixed,hospital_typeCritical access,-25.754606978509262,2.801595370866678,-9.19283606987901,2700.2670965553834,7.425414450472217e-20,-31.248095380884664,-20.26111857613386
fixed,hospital_ownershipGovernment,4.738754401006729,2.196734552569988,2.1571811648625454,2704.843650710385,0.031079373595933258,0.43130631023588695,9.04620249177757
fixed,hospital_ownershipProprietary,-18.27706841568033,2.1224947751544656,-8.61112528032028,2701.7961308583153,1.208537870957952e-17,-22.438946177751596,-14.115190653609062
fixed,hospital_ownershipOther,4.651827865769344,9.032591160217297,0.51500480684409,2675.8826165033174,0.6065921987631462,-13.059736791020825,22.363392522559515
fixed,overall_rating_c,-1.6012581493823996,0.7019901014367728,-2.281026678446153,2694.2661074386674,0.02262459368386881,-2.9777518331919457,-0.22476446557285357
