variable,category,n,percent
Hospital type,Acute care,2592,72.04002223457476
Hospital type,Critical access,1006,27.959977765425236
Ownership,Government,727,20.205669816564757
Ownership,Other,35,0.9727626459143969
Ownership,Proprietary,547,15.202890494719288
Ownership,Voluntary nonprofit,2289,63.61867704280156
ED volume,High,524,14.563646470261256
ED volume,Low,1544,42.91272929405225
ED volume,Medium,858,23.846581434130073
ED volume,Very high,672,18.67704280155642
