model,state_variance,residual_variance,total_variance,icc,state_variance_reduction_pct
Empty random-intercept model,1292.4155108953723,1940.2476872442062,3232.6631981395785,0.3997989990541443,0
Adjusted random-intercept model,610.4302370088749,1228.479695584025,1838.9099325928998,0.33195222136200875,52.76826749115886
