model,n,aic,bic,log_likelihood
OLS,3598,36464.802214583506,36520.4954153141,-18223.401107291753
Empty mixed model,3598,37632.32220674155,37650.88660698508,-18813.161103370774
Adjusted mixed model,3598,35958.56664251746,36020.44797666256,-17969.28332125873
