model,parameters,log_likelihood,aic,delta_aic
Natural cubic spline BMI,10,-60310.89198393512,120641.78396787024,0
Categorical BMI,9,-60349.97169973464,120717.94339946928,76.1594315990369
Linear BMI,7,-60370.96945600365,120755.9389120073,114.15494413705892
