OBJECTID,HUC12,Name,RarAqRankSW,RarAqSumSW,RarFish,RarAqAmph,RarAqRept,Shape__Area,Shape__Length
1270,180500040404,Trout Creek-Arroyo Valle,3,0.226415,0,3,0,147461469.675781,63029.8908171589
1271,180400030602,Mountain House Creek,4,0.301887,0,2,1,63053679.3320312,60825.8610055354
1272,180500040301,Upper Arroyo Mocho,4,0.377358,0,3,1,190904468.800781,108547.282109996
1273,180201630301,Knights Landing Ridge Cut,3,0.226415,4,0,0,115480335.746094,60582.0259796413
1274,180201630602,Tremont School,3,0.207547,1,0,1,131491655.453125,76283.9179795671
1275,180201590503,Clark Slough-Feather River,5,0.528302,4,0,2,238577549.300781,161336.457984772
1276,180201590107,Wilson Creek-North Honcut Creek,2,0.188679,2,1,0,154831536.785156,128065.87164784
1277,180201560302,Middle Mill Creek,4,0.339623,2,1,1,240111859.503906,94815.788745546
1278,180200030902,Headwaters-Burney Creek,0,0,0,0,0,70223382.9609375,46461.1153936054
1279,180200030907,Burney Falls-Burney Creek,2,0.150943,0,0,1,100482383.035156,47981.6564491132
1280,180200030707,Thousand Lakes Valley,0,0,0,0,0,87505386.8671875,54031.8045481206
1281,180200040202,Bartle Creek-McCloud River,2,0.132075,1,1,0,152854309.070312,62308.9263596246
1282,180200031002,Clark Creek,2,0.169811,3,0,0,95028633.1132812,63844.2523754675
1283,180200030506,Dickson Flat,1,0.113208,2,0,0,94521557.7773438,58530.1655264869
1284,180200030304,Paynes Creek,0,0,0,0,0,422321582.484375,115588.641977554
1285,180102040903,Anderson Rose Diversion Dam-Lost River,0,0,0,0,0,6601427.01953125,12377.0322695263
1286,180600060402,Arroyo De La Laguna,3,0.207547,1,0,1,97662276.1015625,70639.7086364102
1287,180600051502,McCoy Creek-Salinas River,3,0.207547,1,2,0,248693638.144531,103446.100787922
1288,180600020701,Stone Creek,1,0.056604,1,0,0,63351095.046875,39544.5280798955
1289,180400020102,North Fork Orestimba Creek,0,0,0,0,0,104943140.34375,54492.4816973701
1290,180400020402,Salado Creek,1,0.075472,0,1,0,154719156.75,79632.4123987119
1291,180400020203,Crow Creek,0,0,0,0,0,98174480.4726562,69687.4271367245
1292,180400020104,Oso Creek-Orestimba Creek,4,0.339623,2,1,1,210522054.898438,124372.996368532
